Chave,Valor
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Shantanu  Narayen', 'age': 60, 'title': 'Chairman & CEO', 'yearBorn': 1964, 'fiscalYear': 2024, 'totalPay': 6041047, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Daniel J. Durn', 'age': 58, 'title': 'CFO and Executive VP of Finance, Technology, Security & Operations', 'yearBorn': 1966, 'fiscalYear': 2024, 'totalPay': 1803676, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David  Wadhwani', 'age': 52, 'title': 'President of Digital Media Business', 'yearBorn': 1972, 'fiscalYear': 2024, 'totalPay': 1614293, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Anil S. Chakravarthy', 'age': 56, 'title': 'President of Digital Experience Business', 'yearBorn': 1968, 'fiscalYear': 2024, 'totalPay': 1629407, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Jillian  Forusz', 'age': 49, 'title': 'Senior VP, Chief Accounting Officer & Corporate Controller', 'yearBorn': 1975, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Steven  Day', 'title': 'CFO & SVP - Digital Experience Business Unit, SVP of Corporate Finance and Interim Head of IR', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Cynthia A. Stoddard', 'age': 67, 'title': 'Senior VP & Chief Information Officer', 'yearBorn': 1957, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Adele Louise  Pentland', 'age': 52, 'title': 'EVP of Legal & Government Relations and Chief Legal Officer', 'yearBorn': 1972, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Lara H. Balazs', 'age': 54, 'title': 'Chief Marketing Officer & Executive Vice President of Global Marketing', 'yearBorn': 1970, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Shanmugh  Natarajan', 'title': 'MD of India & VP of Products', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,1
boardRisk,7
compensationRisk,7
shareHolderRightsRisk,1
overallRisk,2
governanceEpochDate,1759276800
compensationAsOfEpochDate,1735603200
irWebsite,http://www.adobe.com/aboutadobe/invrelations/
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,348.77
open,350.0
dayLow,344.3
dayHigh,350.55
regularMarketPreviousClose,348.77
regularMarketOpen,350.0
regularMarketDayLow,344.3
regularMarketDayHigh,350.55
exDividendDate,1111622400
payoutRatio,0.0
fiveYearAvgDividendYield,0.12
beta,1.49
trailingPE,21.649221
forwardPE,16.908516
volume,2778093
regularMarketVolume,2778093
averageVolume,4208095
averageVolume10days,4088390
averageDailyVolume10Day,4088390
bid,347.1
ask,347.83
bidSize,1
askSize,2
marketCap,145450942464
fiftyTwoWeekLow,330.04
fiftyTwoWeekHigh,557.9
allTimeHigh,699.54
allTimeLow,0.207031
priceToSalesTrailing12Months,6.2745757
fiftyDayAverage,351.8974
twoHundredDayAverage,390.7292
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,USD
tradeable,False
enterpriseValue,146160943104
profitMargins,0.30012
floatShares,417373502
sharesOutstanding,418600000
sharesShort,11240999
sharesShortPriorMonth,9953706
sharesShortPreviousMonthDate,1756425600
dateShortInterest,1759190400
sharesPercentSharesOut,0.0269
heldPercentInsiders,0.00182
heldPercentInstitutions,0.86867994
shortRatio,1.97
shortPercentOfFloat,0.0269
impliedSharesOutstanding,420799299
bookValue,28.024
priceToBook,12.399015
lastFiscalYearEnd,1732838400
nextFiscalYearEnd,1764374400
mostRecentQuarter,1756425600
earningsQuarterlyGrowth,0.052
netIncomeToCommon,6957000192
trailingEps,16.05
forwardEps,20.55
lastSplitFactor,2:1
lastSplitDate,1116892800
enterpriseToRevenue,6.305
enterpriseToEbitda,16.133
52WeekChange,-0.29863548
SandP52WeekChange,0.15822446
lastDividendValue,0.0065
lastDividendDate,1111622400
quoteType,EQUITY
currentPrice,347.47
targetHighPrice,605.0
targetLowPrice,280.0
targetMeanPrice,454.182
targetMedianPrice,460.0
recommendationMean,2.025
recommendationKey,buy
numberOfAnalystOpinions,35
totalCash,5944999936
totalCashPerShare,14.202
ebitda,9059999744
totalDebt,6655000064
quickRatio,0.87
currentRatio,1.019
totalRevenue,23181000704
debtToEquity,56.542
revenuePerShare,53.629
returnOnAssets,0.18094
returnOnEquity,0.52875
grossProfits,20662999040
freeCashflow,8503625216
operatingCashflow,9792000000
earningsGrowth,0.112
revenueGrowth,0.107
grossMargins,0.89138
ebitdaMargins,0.39084
operatingMargins,0.36289
financialCurrency,USD
symbol,ADBE
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Nasdaq Real Time Price
triggerable,True
customPriceAlertConfidence,HIGH
corporateActions,[]
preMarketTime,1760098387
shortName,Adobe Inc.
longName,Adobe Inc.
marketState,PRE
regularMarketChangePercent,-0.372735
regularMarketPrice,347.47
regularMarketTime,1760040001
fiftyTwoWeekLowChange,17.429993
fiftyTwoWeekLowChangePercent,0.052811757
fiftyTwoWeekRange,330.04 - 557.9
fiftyTwoWeekHighChange,-210.43002
fiftyTwoWeekHighChangePercent,-0.3771823
fiftyTwoWeekChangePercent,-29.863548
earningsTimestamp,1757620800
earningsTimestampStart,1765396800
earningsTimestampEnd,1765396800
earningsCallTimestampStart,1757624400
earningsCallTimestampEnd,1757624400
isEarningsDateEstimate,True
epsTrailingTwelveMonths,16.05
epsForward,20.55
epsCurrentYear,20.76395
priceEpsCurrentYear,16.734291
fiftyDayAverageChange,-4.4273987
fiftyDayAverageChangePercent,-0.012581504
twoHundredDayAverageChange,-43.259186
twoHundredDayAverageChangePercent,-0.11071399
sourceInterval,15
exchangeDataDelayedBy,0
averageAnalystRating,2.0 - Buy
cryptoTradeable,False
exchange,NMS
messageBoardId,finmb_24321
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
hasPrePostMarketData,True
firstTradeDateMilliseconds,524323800000
preMarketChange,0.21499634
preMarketChangePercent,0.061874792
preMarketPrice,347.685
regularMarketChange,-1.29999
regularMarketDayRange,344.3 - 350.55
fullExchangeName,NasdaqGS
averageDailyVolume3Month,4208095
displayName,Adobe
trailingPegRatio,1.0033
